european_capital_cities;p_age;p_gender;p_education;p_country;p_id;uri
paris;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Paris
vienna;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Vienna
paris;0;Prefer not to say;;;68;http://dbpedia.org/resource/Paris
berlin;0;Prefer not to say;;;68;http://dbpedia.org/resource/Berlin
vienna;0;Prefer not to say;;;68;http://dbpedia.org/resource/Vienna
paris;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Paris
london;24;Female;Master's degree;France;69;http://dbpedia.org/resource/London
madrid;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Madrid
paris;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Paris
london;26;Female;Master's degree;France;70;http://dbpedia.org/resource/London
berlin;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Berlin
berlin;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Berlin
london;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/London
paris;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Paris
berlin;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Berlin
rome;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Rome
paris;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Paris
berlin;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Berlin
paris;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Paris
madrid;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Madrid
berlin;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Berlin
athens;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Athens
paris;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Paris
rome;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Rome
berlin;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Berlin
london;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/London
