us_companies;p_age;p_gender;p_education;p_country;p_id;uri
tesla;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Tesla,_Inc.
alphabet;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Alphabet_Inc.
apple;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Apple_II
apple;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Apple_II
microsoft;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Microsoft_Windows
apple;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Apple_II
levis;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Lévis,_Quebec
amazon;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Time_in_Brazil
apple;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Apple_II
apple;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Apple_II
google;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Google
amazon;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Time_in_Brazil
apple;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Apple_II
walmart;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Walmart
amazon;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Time_in_Brazil
google;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Google
amazon;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Time_in_Brazil
microsoft;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Microsoft_Windows
apple;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Apple_II
amazon;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Time_in_Brazil
nike;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Nike,_Inc.
blackrock;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Blackrock_College
cisco;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Cisco_Systems
alphabet;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Alphabet_Inc.
microsoft;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Microsoft_Windows
apple;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Apple_II
fedex;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/FedEx
tesla;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Tesla,_Inc.
amazon;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Time_in_Brazil
apple;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Apple_II
walmart;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Walmart
amazon;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Time_in_Brazil
target;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Forward_(association_football)
alphabet;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Alphabet_Inc.
apple;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Apple_II
