us_tech_companies;p_age;p_gender;p_education;p_country;p_id;uri
facebook;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Facebook
nvidia;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Nvidia
apple;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Apple_II
microsoft;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Microsoft_Windows
apple;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Apple_II
facebook;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Facebook
microsoft;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Microsoft_Windows
google;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Google
apple;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Apple_II
microsoft;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Microsoft_Windows
google;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Google
ibm;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/IBM
microsoft;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Microsoft_Windows
apple;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Apple_II
google;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Google
facebook;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Facebook
nan;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Hunan
microsoft;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Microsoft_Windows
facebook;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Facebook
google;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Google
apple;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Apple_II
google;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Google
microsoft;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Microsoft_Windows
apple;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Apple_II
alphabet;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Alphabet_Inc.
microsoft;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Microsoft_Windows
google;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Google
microsoft;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Microsoft_Windows
oracle;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Oracle_Corporation
apple;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Apple_II
microsoft;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Microsoft_Windows
amazon;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Time_in_Brazil
meta;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Heavy_metal_music
apple;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Apple_II
amazon;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Time_in_Brazil
google;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Google
amazon;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Time_in_Brazil
facebook;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Facebook
