uri;birds;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Hawk;hawk;25;Male;Master's degree;germany;80
http://dbpedia.org/resource/Eagle;eagle;25;Male;Bachelor's degree;germany;81
http://dbpedia.org/resource/Common_kingfisher;kingfisher;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Crane_(bird);crane;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Budgerigar;budgie;21;Male;High school degree or equivalent;germany;82
http://dbpedia.org/resource/Robin;robin;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/Magpie;magpie;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/Pidgeon;deaf;23;Female;Bachelor's degree;germany;83
http://dbpedia.org/resource/Duck;duck;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Eagle;eagle;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Sparrow;sparrow;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Owl;owl;25;Female;Master's degree;germany;85
http://dbpedia.org/resource/Stork;stork;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/Columbidae;pigeon;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/Hummingbird;colibri;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/Budgerigar;budgie;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Parrot;parrot;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Eagle;eagle;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Tit_(bird);tit;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Common_blackbird;blackbird;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Magpie;magpie;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Eagle;eagle;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Budgerigar;budgie;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Parrot;parrot;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Budgerigar;budgie;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Columbidae;dove;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Common_chiffchaff;chiffchaff;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Raven;raven;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/Ostrich;ostrich;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/Peafowl;peacock;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/Columbidae;dove;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/Eagle;eagle;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/Sparrow;sparrow;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/Common_blackbird;blackbird;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Robin;robin;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Eurasian_blue_tit;blue tit;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Common_blackbird;blackbird;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Tit_(bird);tit;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Finch;finch;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Robin;robin;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/Common_nightingale;nightingale;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/Gull;seagull;40;Female;Bachelor's degree;china;95
;nan;28;Female;High school degree or equivalent;pakistan;96
