uri;continents;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Africa;africa;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/North_America;north america;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Europe;europe;28;Female;Master's degree;germany;84
http://dbpedia.org/resource/Africa;africa;25;Female;Master's degree;germany;85
http://dbpedia.org/resource/Asia;asia;25;Female;Master's degree;germany;85
http://dbpedia.org/resource/Europe;europe;25;Female;Master's degree;germany;85
http://dbpedia.org/resource/Europe;europe;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/Africa;africa;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/North_America;north america;25;Female;Bachelor's degree;russia;86
http://dbpedia.org/resource/Africa;africa;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Asia;asia;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Australia_(continent);australia;24;Female;High school degree or equivalent;germany;87
http://dbpedia.org/resource/Africa;africa;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Australia_(continent);australia;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Europe;europe;26;Male;Bachelor's degree;germany;88
http://dbpedia.org/resource/Asia;asia;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Europe;europe;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Africa;africa;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Asia;asia;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Europe;europe;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Africa;africa;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Europe;europe;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/Asia;asia;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/South_America;south america;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/Europe;europe;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/North_America;north america;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/Africa;africa;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/Europe;europe;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Asia;asia;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Africa;africa;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Asia;asia;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Europe;europe;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Africa;africa;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Asia;asia;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/Europe;europe;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/Africa;africa;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/North_America;north america;28;Female;High school degree or equivalent;pakistan;96
http://dbpedia.org/resource/Europe;europe;28;Female;High school degree or equivalent;pakistan;96
http://dbpedia.org/resource/Asia;asia;28;Female;High school degree or equivalent;pakistan;96
http://dbpedia.org/resource/Europe;europe;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Africa;africa;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Asia;asia;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Europe;europe;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Australia_(continent);australia;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Antarctica;antarctica;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Europe;europe;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Australia_(continent);australia;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Africa;africa;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Australia_(continent);australia;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Europe;europe;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Asia;asia;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Europe;europe;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Australia_(continent);australia;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Africa;africa;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Asia;asia;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Africa;africa;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/North_America;north america;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Europe;europe;70;Female;Dipl.-Ing.;germany;103
