"fur","name"
"http://dbpedia.org/resource/Home_altar","Home altar"
"http://dbpedia.org/resource/Icon_corner","Icon corner"
"http://dbpedia.org/resource/Imperial_Airship_Scheme","Imperial Airship Scheme"
"http://dbpedia.org/resource/Aaron's_rod","Aaron's rod"
"http://dbpedia.org/resource/Abbott_Lawrence_Rotch","Abbott Lawrence Rotch"
"http://dbpedia.org/resource/Stanley_Spencer_(aeronaut)","Stanley Spencer (aeronaut)"
"http://dbpedia.org/resource/Steel_Empire","Steel Empire"
"http://dbpedia.org/resource/Stelia_Aerospace","Stelia Aerospace"
"http://dbpedia.org/resource/Stephen_Welch","Stephen Welch"
"http://dbpedia.org/resource/Steve_Fossett","Steve Fossett"
"http://dbpedia.org/resource/Steve_Serio","Steve Serio"
"http://dbpedia.org/resource/Steve_Sitko","Steve Sitko"
"http://dbpedia.org/resource/Stewart_Wurtz","Stewart Wurtz"
"http://dbpedia.org/resource/Yasuhigashi_Station","Yasuhigashi Station"
"http://dbpedia.org/resource/Yen_Hoang","Yen Hoang"
"http://dbpedia.org/resource/Yoji_Nakajima","Yoji Nakajima"
"http://dbpedia.org/resource/Yug_Ylimaf","Yug Ylimaf"
"http://dbpedia.org/resource/Zeppelin_(film)","Zeppelin (film)"
"http://dbpedia.org/resource/Zeppelin_LZ85","Zeppelin LZ85"
"http://dbpedia.org/resource/Zeppelin_LZ_100","Zeppelin LZ 100"
"http://dbpedia.org/resource/Zeppelin_LZ_102","Zeppelin LZ 102"
"http://dbpedia.org/resource/Zeppelin_LZ_112","Zeppelin LZ 112"
"http://dbpedia.org/resource/Zeppelin_LZ_121_Nordstern","Zeppelin LZ 121 Nordstern"
"http://dbpedia.org/resource/Zeppelin_LZ_14","Zeppelin LZ 14"
"http://dbpedia.org/resource/Zeppelin_LZ_23","Zeppelin LZ 23"
"http://dbpedia.org/resource/Zeppelin_LZ_24","Zeppelin LZ 24"
"http://dbpedia.org/resource/Zeppelin_LZ_31","Zeppelin LZ 31"
"http://dbpedia.org/resource/Zeppelin_LZ_32","Zeppelin LZ 32"
"http://dbpedia.org/resource/Zeppelin_LZ_38","Zeppelin LZ 38"
"http://dbpedia.org/resource/Zeppelin_LZ_39","Zeppelin LZ 39"
"http://dbpedia.org/resource/Zeppelin_LZ_47","Zeppelin LZ 47"
"http://dbpedia.org/resource/Zeppelin_LZ_48","Zeppelin LZ 48"
"http://dbpedia.org/resource/Zeppelin_LZ_53","Zeppelin LZ 53"
"http://dbpedia.org/resource/Zeppelin_LZ_54","Zeppelin LZ 54"
"http://dbpedia.org/resource/Zeppelin_LZ_55","Zeppelin LZ 55"
"http://dbpedia.org/resource/Zeppelin_LZ_59","Zeppelin LZ 59"
"http://dbpedia.org/resource/Zeppelin_LZ_64","Zeppelin LZ 64"
"http://dbpedia.org/resource/Zeppelin_LZ_66","Zeppelin LZ 66"
"http://dbpedia.org/resource/Zeppelin_LZ_72","Zeppelin LZ 72"
"http://dbpedia.org/resource/Zeppelin_LZ_74","Zeppelin LZ 74"
"http://dbpedia.org/resource/Zeppelin_LZ_76","Zeppelin LZ 76"
"http://dbpedia.org/resource/Zeppelin_LZ_78","Zeppelin LZ 78"
"http://dbpedia.org/resource/Zeppelin_LZ_80","Zeppelin LZ 80"
"http://dbpedia.org/resource/Zeppelin_LZ_86","Zeppelin LZ 86"
"http://dbpedia.org/resource/Zeppelin_LZ_89","Zeppelin LZ 89"
"http://dbpedia.org/resource/Zeppelin_LZ_95","Zeppelin LZ 95"
"http://dbpedia.org/resource/Zeppelin_NT","Zeppelin NT"
"http://dbpedia.org/resource/Zodiac_Aerospace","Zodiac Aerospace"
"http://dbpedia.org/resource/Emily_Young_McQueen","Emily Young McQueen"
"http://dbpedia.org/resource/Frederick_Meyer","Frederick Meyer"
"http://dbpedia.org/resource/French_blimps_operated_by_the_USN","French blimps operated by the USN"
"http://dbpedia.org/resource/Makura-Nage","Makura-Nage"
"http://dbpedia.org/resource/Tablets_of_Stone","Tablets of Stone"
"http://dbpedia.org/resource/SAE_J2452","SAE J2452"
"http://dbpedia.org/resource/San_Pietro_Polyptych","San Pietro Polyptych"
"http://dbpedia.org/resource/Samuel_Abraham_Marx","Samuel Abraham Marx"
"http://dbpedia.org/resource/Self_aligning_torque","Self aligning torque"
"http://dbpedia.org/resource/Uniform_Tire_Quality_Grading","Uniform Tire Quality Grading"
"http://dbpedia.org/resource/Ann_Cody","Ann Cody"
"http://dbpedia.org/resource/Antoni_Janusz","Antoni Janusz"
"http://dbpedia.org/resource/Art_Anderson_(basketball)","Art Anderson (basketball)"
"http://dbpedia.org/resource/Arthur_J._Hartman","Arthur J. Hartman"
"http://dbpedia.org/resource/Winged_Altarpiece_of_Our_Lady_from_Seeberg","Winged Altarpiece of Our Lady from Seeberg"
"http://dbpedia.org/resource/Winged_altarpiece","Winged altarpiece"
"http://dbpedia.org/resource/Albert_Berry_(parachutist)","Albert Berry (parachutist)"
"http://dbpedia.org/resource/Albert_Tissandier","Albert Tissandier"
"http://dbpedia.org/resource/Filibus","Filibus"
"http://dbpedia.org/resource/Final_Fantasy_IV","Final Fantasy IV"
"http://dbpedia.org/resource/Final_Fantasy_IX","Final Fantasy IX"
"http://dbpedia.org/resource/Final_Fantasy_VI","Final Fantasy VI"
"http://dbpedia.org/resource/Final_Fantasy_VIII","Final Fantasy VIII"
"http://dbpedia.org/resource/Florence_Knoll","Florence Knoll"
