continents;p_age;p_gender;p_education;p_country;p_id;uri
europe;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Europe
north america;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/North_America
africa;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Africa
africa;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Africa
north america;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/North_America
europe;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Europe
africa;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Africa
asia;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Asia
europe;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Europe
europe;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Europe
africa;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Africa
north america;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/North_America
africa;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Africa
asia;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Asia
australia;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Australia_(continent)
africa;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Africa
australia;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Australia_(continent)
europe;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Europe
asia;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Asia
europe;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Europe
africa;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Africa
asia;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Asia
europe;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Europe
africa;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Africa
europe;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Europe
asia;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Asia
south america;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/South_America
europe;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Europe
north america;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/North_America
africa;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Africa
europe;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Europe
asia;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Asia
africa;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Africa
asia;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Asia
europe;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Europe
africa;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Africa
asia;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Asia
europe;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Europe
africa;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Africa
north america;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/North_America
europe;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Europe
asia;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Asia
europe;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Europe
africa;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Africa
asia;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Asia
europe;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Europe
australia;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Australia_(continent)
antarctica;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Antarctica
europe;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Europe
australia;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Australia_(continent)
africa;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Africa
australia;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Australia_(continent)
europe;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Europe
asia;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Asia
europe;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Europe
australia;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Australia_(continent)
africa;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Africa
asia;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Asia
africa;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Africa
north america;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/North_America
europe;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Europe
asia;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Asia
africa;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Africa
asia;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Asia
africa;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Africa
europe;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Europe
asia;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Asia
europe;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Europe
africa;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Africa
europe;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Europe
asia;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Asia
australia;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Australia_(continent)
asia;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Asia
europe;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Europe
africa;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Africa
asia;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Asia
north america;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/North_America
europe;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Europe
