music_genres;p_age;p_gender;p_education;p_country;p_id;uri
rap;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Hip_hop_music
soul;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Soul_music
jazz;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Jazz
country;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Country_music
rock;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Rock_music
hip hop;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Hip_hop_music
rock;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Rock_music
pop;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Pop_music
classic;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Classical_music
punk;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Punk_rock
rock;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Rock_music
disco;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Disco
rap;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Hip_hop_music
pop;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Pop_music
techno;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Techno
rap;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Hip_hop_music
classic;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Classical_music
schlager;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Schlager_music
rock;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Rock_music
punk;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Punk_rock
electro;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Electro_(music)
techno;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Techno
rock;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Rock_music
pop;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Pop_music
rock;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Rock_music
metal;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Heavy_metal_music
punk;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/Punk_rock
rap;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Hip_hop_music
trap;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Trap_music
hardstyle;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Hardstyle
pop;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Pop_music
techno;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Techno
classical music;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Classical_music
pop;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Pop_music
rock;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Rock_music
rap;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Hip_hop_music
hip hop;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Hip_hop_music
jazz;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Jazz
indie pop;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Indie_pop
pop;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Pop_music
rock;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Rock_music
jazz;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Jazz
pop;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Pop_music
metal;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Heavy_metal_music
edm;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Electronic_dance_music
techno;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Techno
pop;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Pop_music
rock;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Rock_music
swing;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Swing_music
jazz;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Jazz
rap;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Hip_hop_music
punk rock;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Punk_rock
psychedelic rock;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Psychedelic_rock
jazz;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Jazz
hardstyle;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Hardstyle
techno;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Techno
house;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/House_music
jazz;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Jazz
hip hop;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Hip_hop_music
rock;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Rock_music
pop;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Pop_music
rock;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Rock_music
