nineties_movies;p_age;p_gender;p_education;p_country;p_id;uri
titanic;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Titanic_(1997_film)
spiderman;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/The_Spectacular_Spider-Man
titanic;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Titanic_(1997_film)
house of wax;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/House_of_Wax
titanic;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Titanic_(1997_film)
forrest gump;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Forrest_Gump
pulp fiction;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Pulp_Fiction
pulp fiction;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Pulp_Fiction
pretty woman;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Pretty_Woman
the green mile;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/The_Green_Mile_(film)
pretty woman;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Pretty_Woman
toy story;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Toy_Story
matrix;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/The_Matrix
matrix;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/The_Matrix
men in black;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Men_in_Black_(1997_film)
the usual suspects;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/The_Usual_Suspects
mission impossible;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Mission:_Impossible_–_Ghost_Protocol
harry potter;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Harry_Potter
the lord of the rings;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/The_Lord_of_the_Rings
matrix;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/The_Matrix
star wars;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
lion king;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/The_Lion_King
star wars;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
notting hill;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Notting_Hill
the silence of the lambs;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/The_Silence_of_the_Lambs
lion king;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/The_Lion_King
american pie;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/American_Pie_(film)
kevin   home alone;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Home_Alone
prinzessin mononoke;26;Female;High school degree or equivalent;Germany;99;NaN
pulp fiction;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Pulp_Fiction
seven;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Seven_(1995_film)
clueless;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Clueless
the wedding singer;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/The_Wedding_Singer
misery;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Misery_Signals
10 things i hate about you;23;Female;Master's degree;England;101;http://dbpedia.org/resource/10_Things_I_Hate_About_You
my girl;23;Female;Master's degree;England;101;http://dbpedia.org/resource/My_Girl_(film)
clueless;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Clueless
chocolat;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Chocolat_(group)
cinema paradiso;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Cinema_Paradiso
the silence of the lambs;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/The_Silence_of_the_Lambs
ghost dog: the way of the samurai;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Ghost_Dog:_The_Way_of_the_Samurai
mrs. doubtfire;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Mrs._Doubtfire
eyes wide shut;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Eyes_Wide_Shut
nan;59;Male;Doctorate (e.g. PhD);Germany;105;NaN
jurassic park;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Jurassic_Park_(film)
pulp fiction;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Pulp_Fiction
dancer in the dark;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Electronic_music
four weddings and a funeral;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Four_Weddings_and_a_Funeral
gegen die wand;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Head-On_(film)
clerks;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Clerks
;50;Female;Doctorate (e.g. PhD);Germany;107;NaN
pulp fiction;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Pulp_Fiction
james bond   golden eye;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/GoldenEye
finding nemo;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Finding_Nemo
