cities;p_age;p_gender;p_education;p_country;p_id;uri
künzelsau;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Künzelsau
shanghai;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Shanghai
beijing;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Beijing
london;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/City_of_London
rome;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Rome
mannheim;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Mannheim
paris;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Paris
mannheim;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Mannheim
stuttgart;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Stuttgart
munich;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Munich
munich;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Munich
reykjavik;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Reykjavík
lisbon;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Lisbon
jaipur;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Jaipur
berlin;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Berlin
heidelberg;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Heidelberg
pittsburgh;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Pittsburgh
las vegas;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Las_Vegas
london;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/City_of_London
birmingham;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Birmingham
nice;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Nice
amsterdam;23;Female;Master's degree;england;101;http://dbpedia.org/resource/Amsterdam
berlin;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Berlin
hamburg;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Hamburg
munich;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Munich
paris;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Paris
berlin;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Berlin
rome;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Rome
new york;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/New_York_City
washington;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Washington,_D.C.
dublin;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Dublin
new york;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/New_York_City
stockholm;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Stockholm
munich;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Munich
rome;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Rome
bologna;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Bologna
berlin;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Berlin
berlin;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Berlin
munich;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Munich
hamburg;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Hamburg
new york;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/New_York_City
hamburg;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Hamburg
bremen;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Bremen
