fast_food;p_age;p_gender;p_education;p_country;p_id;uri
sushi;54;Male;High school degree or equivalent;germany;61;http://dbpedia.org/resource/Sushi
hamburger;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Hamburger
pizza;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Pizza
chips;30;Female;Master's degree;france;62;http://dbpedia.org/resource/Fish_and_chips
hamburger;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Hamburger
french fries;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/French_fries
pizza;24;Male;Bachelor's degree;germany;63;http://dbpedia.org/resource/Pizza
hamburger;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Hamburger
fishandchips;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/Fish_and_chips
french fries;17;Male;Less than a high school degree;germany;64;http://dbpedia.org/resource/French_fries
hamburger;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Hamburger
kebab;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Kebab
french fries;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/French_fries
french fries;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/French_fries
hamburger;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Hamburger
chick nuggets;16;Male;Less than a high school degree;germany;66;http://dbpedia.org/resource/Chicken_nugget
hamburger;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Hamburger
french fries;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/French_fries
chick nuggets;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Chicken_nugget
hamburger;0;Prefer not to say;;;68;http://dbpedia.org/resource/Hamburger
french fries;0;Prefer not to say;;;68;http://dbpedia.org/resource/French_fries
hot dog;0;Prefer not to say;;;68;http://dbpedia.org/resource/Hot_dog
hamburger;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Hamburger
kebab;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Kebab
hamburger;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Hamburger
burrito;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Burrito
hamburger;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Hamburger
french fries;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/French_fries
pizza;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Pizza
pizza;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Pizza
hamburger;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Hamburger
taco;54;Male;Less than a high school degree;germany;72;http://dbpedia.org/resource/Taco
