birds;p_age;p_gender;p_education;p_country;p_id;uri
chaffinch;25;Female;High school degree or equivalent;germany;65;http://dbpedia.org/resource/Common_chaffinch
;16;Male;Less than a high school degree;germany;66;
parrot;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Parrot
sparrow;21;Male;High school degree or equivalent;germany;67;http://dbpedia.org/resource/Sparrow
eagle;0;Prefer not to say;;;68;http://dbpedia.org/resource/Eagle
vulture;0;Prefer not to say;;;68;http://dbpedia.org/resource/Vulture
sparrow;0;Prefer not to say;;;68;http://dbpedia.org/resource/Sparrow
robin;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Robin
magpie;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Magpie
eagle;24;Female;Master's degree;france;69;http://dbpedia.org/resource/Eagle
mockingjay;26;Female;Master's degree;france;70;
raven;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Raven
eagle;26;Female;Master's degree;france;70;http://dbpedia.org/resource/Eagle
blackbird;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Common_blackbird
tit;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Tit_(bird)
fink;34;Female;Master's degree;germany;71;http://dbpedia.org/resource/Finch
;54;Male;Less than a high school degree;germany;72;
mockingbird;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Mockingbird
eagle;23;Male;Bachelor's degree;germany;73;http://dbpedia.org/resource/Eagle
pigeon;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Columbidae
penguin;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Penguin
hummingbird;27;Male;Master's degree;germany;74;http://dbpedia.org/resource/Hummingbird
albatross;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Albatross
seagull;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Gull
raven;25;Male;Bachelor's degree;germany;75;http://dbpedia.org/resource/Raven
parrot;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Parrot
kookaburra;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Kookaburra
raven;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Raven
owl;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Owl
blackbird;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Common_blackbird
buzzard;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Buteo
blackbird;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Common_blackbird
choke;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Thrush_(bird)
fink;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Finch
crow;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Crow
pigeon;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Columbidae
eagle;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Eagle
eagle;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Eagle
hawk;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Hawk
eagle;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Eagle
kingfisher;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Common_kingfisher
crane;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Crane_(bird)
budgie;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Budgerigar
robin;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Robin
magpie;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Magpie
deaf;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Pidgeon
duck;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Duck
eagle;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Eagle
sparrow;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Sparrow
owl;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Owl
stork;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Stork
pigeon;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Columbidae
colibri;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Hummingbird
budgie;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Budgerigar
parrot;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Parrot
eagle;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Eagle
tit;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Tit_(bird)
blackbird;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Common_blackbird
magpie;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Magpie
eagle;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Eagle
budgie;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Budgerigar
parrot;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Parrot
budgie;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Budgerigar
dove;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Columbidae
chiffchaff;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Common_chiffchaff
raven;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Raven
ostrich;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Ostrich
peacock;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Peafowl
dove;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Columbidae
eagle;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Eagle
sparrow;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Sparrow
blackbird;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Common_blackbird
robin;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Robin
blue tit;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Eurasian_blue_tit
blackbird;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Common_blackbird
tit;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Tit_(bird)
finch;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Finch
robin;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Robin
nightingale;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Common_nightingale
seagull;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Gull
;28;Female;High school degree or equivalent;pakistan;96;
blackbird;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Common_blackbird
sparrow;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Sparrow
tit;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Tit_(bird)
falcon;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Falcon
parrot;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Parrot
eagle;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Eagle
owl;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Owl
raven;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Raven
