asian_countries;p_age;p_gender;p_education;p_country;p_id;uri
singapore;27;Female;Master's degree;germany;76;http://dbpedia.org/resource/Singapore
china;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/China
japan;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Japan
indonesia;51;Male;High school degree or equivalent;germany;77;http://dbpedia.org/resource/Indonesia
vietnam;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Vietnam
thailand;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Thailand
cambodia;26;Male;High school degree or equivalent;germany;78;http://dbpedia.org/resource/Cambodia
china;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/China
japan;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/Japan
south korea;27;Male;Bachelor's degree;germany;79;http://dbpedia.org/resource/South_Korea
china;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/China
vietnam;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Vietnam
japan;25;Male;Master's degree;germany;80;http://dbpedia.org/resource/Japan
china;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/China
japan;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/Japan
south korea;25;Male;Bachelor's degree;germany;81;http://dbpedia.org/resource/South_Korea
china;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/China
mongolia;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Mongolia
vietnam;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Vietnam
malaysia;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Malaysia
china;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/China
japan;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Japan
china;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/China
vietnam;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Vietnam
japan;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Japan
china;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/China
china;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/China
south korea;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/South_Korea
japan;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Japan
indonesia;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Indonesia
srilanka;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Sri_Lanka
thailand;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Thailand
china;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/China
vietnam;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Vietnam
japan;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Japan
indonesia;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Indonesia
china;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/China
philipines;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Philippines
syria;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Syria
china;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/China
pakistan;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Pakistan
japan;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Japan
indonesia;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Indonesia
china;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/China
indonesia;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Indonesia
china;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/China
japan;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Japan
china;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/China
japan;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Japan
singapore;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Singapore
south korea;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/South_Korea
