books;p_age;p_gender;p_education;p_country;p_id;uri
star wars episode 1 the phantom of menace;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
the fabulous destiny of amélie;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Amélie
war & peace;30;Female;Master's degree;France;62;http://dbpedia.org/resource/War_and_Peace
kafka on the shore;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Kafka_on_the_Shore
pride & prejudice;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Pride_and_Prejudice
harry potter;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Harry_Potter
the capital;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Das_Kapital
the trial;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/The_Trial
the holy bible;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Bible
lord of the rings;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/The_Lord_of_the_Rings
the communistic manifest;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/The_Communist_Manifesto
verblendung;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/The_Girl_with_the_Dragon_Tattoo
vergebung;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/The_Girl_Who_Kicked_the_Hornets
verdammnis;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/The_Girl_Who_Played_with_Fire
how to avoid a climate change;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/How_to_Avoid_a_Climate_Disaster
a promised land;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/A_Promised_Land
rich dad poor dad;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Rich_Dad_Poor_Dad
das kapital;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Das_Kapital
harry potter;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Harry_Potter
blackout;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Blackout_(Elsberg_novel)
the swarm;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/The_Swarm_(Schätzing_novel)
the bible;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Bible
les misérables;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Les_Misérables
devenir;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Becoming_(book)
songe d’une nuit d’été;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Le_songe_d'une_nuit_d'été
gone with the wind;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Gone_with_the_Wind_(novel)
lord of the rings;26;Female;Master's degree;France;70;http://dbpedia.org/resource/The_Lord_of_the_Rings
pillars of the earth;26;Female;Master's degree;France;70;http://dbpedia.org/resource/The_Pillars_of_the_Earth
bibel;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Bible
koran;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Quran
harry pitter;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Harry_Potter
nan;54;Male;Less than a high school degree;Germany;72;NaN
exponential;23;Male;Bachelor's degree;Germany;73;NaN
prisoners of geography;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Prisoners_of_Geography
enders game;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Ender's_Game_(novel_series)
aurora;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Aurora_(novel)
snow crash;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Snow_Crash
the midnight library;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Midnight_Library
percy jackson;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Percy_Jackson_&_the_Olympians
bible;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Bible
catcher in the rye;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/The_Catcher_in_the_Rye
lord of the flies;27;Female;Master's degree;Germany;76;http://dbpedia.org/resource/Lord_of_the_Flies
shinig;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/The_Shining_(novel)
the stand;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/The_Stand
a brief history of time;51;Male;High school degree or equivalent;Germany;77;http://dbpedia.org/resource/A_Brief_History_of_Time
friedhof der kuscheltiere;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/Pet_Sematary
fluggast 7a;26;Male;High school degree or equivalent;Germany;78;NaN
es;26;Male;High school degree or equivalent;Germany;78;http://dbpedia.org/resource/It_(novel)
harry potter;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Harry_Potter
lord of the rings;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/The_Lord_of_the_Rings
the bible;27;Male;Bachelor's degree;Germany;79;http://dbpedia.org/resource/Bible
harry potter;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Harry_Potter
lord of the rings;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/The_Lord_of_the_Rings
kafka;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Franz_Kafka
homo deus;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Homo_Deus:_A_Brief_History_of_Tomorrow
the intelligent investor;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/The_Intelligent_Investor
dark matter;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Dark_matter
das parfüm;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Perfume_(novel)
faust 1;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Faust
die physiker;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/The_Physicists
harry potter 1;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Harry_Potter_and_the_Philosopher's_Stone
der herr der ringe 1;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Der_Herr_der_Ringe
dune;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Dune_(franchise)
the lord of the rings;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/The_Lord_of_the_Rings
twilight;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Twilight_(novel_series)
bibel;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Bible
harry potter;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Harry_Potter
harry potter;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Harry_Potter
moby dick;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Moby-Dick
the catcher in the rye;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/The_Catcher_in_the_Rye
passanger 23;24;Female;High school degree or equivalent;Germany;87;NaN
the therapy;24;Female;High school degree or equivalent;Germany;87;NaN
noah;24;Female;High school degree or equivalent;Germany;87;NaN
bibel;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Bible
die leiden des jungen wärter;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/The_Sorrows_of_Young_Werther
faust;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Faust
harry potter;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Harry_Potter
herr der ringe;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/The_Lord_of_the_Rings
cafe on the edge of the world;27;Female;Master's degree;Germany;89;NaN
holy quran;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Quran
risiko;25;Male;Bachelor's degree;Germany;90;NaN
rich dad poor dad;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Rich_Dad_Poor_Dad
salems lot;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/'Salem's_Lot
it;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/It_(novel)
dune;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Dune_(franchise)
atomic habits;28;Male;High school degree or equivalent;Germany;92;NaN
normal people;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/The_War_on_Normal_People
principals;28;Male;High school degree or equivalent;Germany;92;NaN
harry potter;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Harry_Potter
chronicles of narnia;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/The_Chronicles_of_Narnia
gone with the wind;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Gone_with_the_Wind_(novel)
wolfsblut;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/White_Fang
yoga nidra;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Yoga_nidra
jetzt!;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/The_Power_of_Now
tao and teh;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Tao_Te_Ching
the story of art;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/The_Story_of_Art
oliver twist;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Oliver_Twist
kite runer;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/The_Kite_Runner
forty rules of love;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/The_Forty_Rules_of_Love
sapiens;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Homo_sapiens
bible;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Bible
catcher in the rhye;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/The_Catcher_in_the_Rye
glennkill;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Three_Bags_Full
playlist;26;Male;Less than a high school degree;Germany;98;NaN
hunger games;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/The_Hunger_Games
die bestimmung;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Divergent_(novel)
wer die nachtigall stört;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/To_Kill_a_Mockingbird
das geschenk;26;Female;High school degree or equivalent;Germany;99;NaN
harry potter und die kammer des schreckens;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Harry_Potter_and_the_Chamber_of_Secrets
lord of the rings;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/The_Lord_of_the_Rings
harry potter and the sorcerers stone;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Harry_Potter_and_the_Philosopher's_Stone
and breakfast of champions;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Breakfast_of_Champions
play dead;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Play_Dead_(novel)
catch;23;Female;Master's degree;England;101;NaN
this is going to hurt a bit;23;Female;Master's degree;England;101;http://dbpedia.org/resource/This_Is_Going_to_Hurt
harry potter;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Harry_Potter
a curious incident of a dog in the night time;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/The_Curious_Incident_of_the_Dog_in_the_Night-Time
notes on a nervous planet;26;Female;Bachelor's degree;Germany;102;NaN
der tod in venedig;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Death_in_Venice
