vegetables;p_age;p_gender;p_education;p_country;p_id;uri
pepper;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Bell_pepper
broccoli;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Broccoli
spinach;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Spinach
potato;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Potato
bell pepper;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Bell_pepper
mushroom;47;Female;Bachelor's degree;england;93;http://dbpedia.org/resource/Mushroom
tomato;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Tomato
cucumber;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Cucumber
capsicum;38;Male;Bachelor's degree;germany;94;http://dbpedia.org/resource/Capsicum
potato;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Potato
tomato;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Tomato
cucumber;40;Female;Bachelor's degree;china;95;http://dbpedia.org/resource/Cucumber
pumpkin;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Pumpkin
broccoli;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Broccoli
eggplant;28;Female;High school degree or equivalent;pakistan;96;http://dbpedia.org/resource/Eggplant
broccoli;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Broccoli
spinach;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Spinach
carrot;48;Female;Diplom;germany;97;http://dbpedia.org/resource/Carrot
paprika;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Paprika
potato;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Potato
onion;26;Male;Less than a high school degree;germany;98;http://dbpedia.org/resource/Onion
tomato;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Tomato
cucumber;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Cucumber
garlic;26;Female;High school degree or equivalent;germany;99;http://dbpedia.org/resource/Garlic
broccoli;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Broccoli
carrot;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Carrot
green bean;45;Female;Bachelor's degree;usa;100;http://dbpedia.org/resource/Green_bean
;23;Female;Master's degree;england;101;
carrot;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Carrot
eggplant;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Eggplant
broccoli;26;Female;Bachelor's degree;germany;102;http://dbpedia.org/resource/Broccoli
bean;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Bean
pea;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Pea
carrot;70;Female;Dipl.-Ing.;germany;103;http://dbpedia.org/resource/Carrot
eggplant;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Eggplant
zucchini;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Zucchini
lettuce;33;Female;Master's degree;iran;104;http://dbpedia.org/resource/Lettuce
bean;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Bean
cauliflower;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Cauliflower
carrot;59;Male;Doctorate (e.g. PhD);germany;105;http://dbpedia.org/resource/Carrot
cucumber;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Cucumber
cauliflower;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Cauliflower
onion;47;Female;Doctorate (e.g. PhD);germany;106;http://dbpedia.org/resource/Onion
carrot;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Carrot
turnip;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Turnip
cucumber;50;Female;Doctorate (e.g. PhD);germany;107;http://dbpedia.org/resource/Cucumber
onion;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Onion
potato;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Potato
tomato;45;Female;Doctorate (e.g. PhD);germany;108;http://dbpedia.org/resource/Tomato
