us_presidents;p_age;p_gender;p_education;p_country;p_id;uri
donald trump;25;Male;Master's degree;Germany;80;http://dbpedia.org/resource/Donald_Trump
biden;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Joe_Biden
trump;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Donald_Trump
clinton;25;Male;Bachelor's degree;Germany;81;http://dbpedia.org/resource/Bill_Clinton
donald trump;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Donald_Trump
joe biden;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Joe_Biden
barack obama;21;Male;High school degree or equivalent;Germany;82;http://dbpedia.org/resource/Barack_Obama
bill clinton;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Bill_Clinton
barack obama;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Barack_Obama
donald trump;23;Female;Bachelor's degree;Germany;83;http://dbpedia.org/resource/Donald_Trump
trump;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Donald_Trump
obama;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/Barack_Obama
jf kennedy;28;Female;Master's degree;Germany;84;http://dbpedia.org/resource/John_F._Kennedy
biden;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Joe_Biden
trump;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Donald_Trump
obama;25;Female;Master's degree;Germany;85;http://dbpedia.org/resource/Barack_Obama
obama;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Barack_Obama
lincoln;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Abraham_Lincoln
biden;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Joe_Biden
obama;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Barack_Obama
bush;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/George_W._Bush
biden;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Joe_Biden
joe biden;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Joe_Biden
donald trump;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Donald_Trump
george bush;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/George_W._Bush
obama;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Barack_Obama
trump;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Donald_Trump
