us_companies;p_age;p_gender;p_education;p_country;p_id;uri
walmart;19;Female;High school degree or equivalent;Germany;52;http://dbpedia.org/resource/Walmart
google;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Google
apple;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Apple_Inc.
starbucks;25;Male;Bachelor's degree;Germany;53;http://dbpedia.org/resource/Starbucks
target;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Target_Corporation
starbucks;34;Female;Master's degree;France;54;http://dbpedia.org/resource/Starbucks
jcpenney;34;Female;Master's degree;France;54;http://dbpedia.org/resource/J._C._Penney
apple;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Apple_Inc.
walmart;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/Walmart
mcdonalds;20;Female;High school degree or equivalent;Germany;55;http://dbpedia.org/resource/McDonald's
coca cola;26;Female;Master's degree;France;56;http://dbpedia.org/resource/The_Coca-Cola_Company
apple;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Apple_Inc.
amazon;26;Female;Master's degree;France;56;http://dbpedia.org/resource/Amazon_(company)
marlboro;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Upper_Marlboro,_Maryland
walmart;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Walmart
morgan stanley;29;Prefer not to say;Master's degree;Germany;57;http://dbpedia.org/resource/Morgan_Stanley
apple;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Apple_Inc.
ford;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Ford_Motor_Company
netflix;31;Male;Master's degree;Germany;58;http://dbpedia.org/resource/Netflix
tesla;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Tesla,_Inc.
microsoft;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Microsoft
apple;23;Male;High school degree or equivalent;Germany;59;http://dbpedia.org/resource/Apple_Inc.
apple;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Apple_Inc.
meta;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Meta_Platforms
tesla;21;Female;High school degree or equivalent;Germany;60;http://dbpedia.org/resource/Tesla,_Inc.
nike;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Nike,_Inc.
harley davidson;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Harley-Davidson
walmart;54;Male;High school degree or equivalent;Germany;61;http://dbpedia.org/resource/Walmart
p&g;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Procter_&_Gamble
unilever;30;Female;Master's degree;France;62;http://dbpedia.org/resource/Unilever
coca cola;30;Female;Master's degree;France;62;http://dbpedia.org/resource/The_Coca-Cola_Company
microsoft;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Microsoft
apple;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Apple_Inc.
tesla;24;Male;Bachelor's degree;Germany;63;http://dbpedia.org/resource/Tesla,_Inc.
apple;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Apple_Inc.
microsoft;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Microsoft
netflix;17;Male;Less than a high school degree;Germany;64;http://dbpedia.org/resource/Netflix
tesla;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Tesla,_Inc.
microsoft;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Microsoft
ford;25;Female;High school degree or equivalent;Germany;65;http://dbpedia.org/resource/Ford_Motor_Company
pfizer;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Pfizer
goldmann sachs;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Goldman_Sachs
microsoft;16;Male;Less than a high school degree;Germany;66;http://dbpedia.org/resource/Microsoft
tesla;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Tesla,_Inc.
walmart;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/Walmart
coca cola;21;Male;High school degree or equivalent;Germany;67;http://dbpedia.org/resource/The_Coca-Cola_Company
google;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Google
exxon;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Exxon
nike;0;Prefer not to say;NaN;NaN;68;http://dbpedia.org/resource/Nike,_Inc.
american airlines;24;Female;Master's degree;France;69;http://dbpedia.org/resource/American_Airlines
microsoft;24;Female;Master's degree;France;69;http://dbpedia.org/resource/Microsoft
space x;24;Female;Master's degree;France;69;http://dbpedia.org/resource/SpaceX
3m;26;Female;Master's degree;France;70;http://dbpedia.org/resource/3M
apple;26;Female;Master's degree;France;70;http://dbpedia.org/resource/Apple_Inc.
ibm;26;Female;Master's degree;France;70;http://dbpedia.org/resource/IBM
apple;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Apple_Inc.
meta;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/Meta_Platforms
coca cola;34;Female;Master's degree;Germany;71;http://dbpedia.org/resource/The_Coca-Cola_Company
ford;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Ford_Motor_Company
exxon;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/Exxon
mc donalds;54;Male;Less than a high school degree;Germany;72;http://dbpedia.org/resource/McDonald's
nvidia;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Nvidia
airbnb;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Airbnb
uber;23;Male;Bachelor's degree;Germany;73;http://dbpedia.org/resource/Uber
tesla;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Tesla,_Inc.
apple;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Apple_Inc.
amazon;27;Male;Master's degree;Germany;74;http://dbpedia.org/resource/Amazon_(company)
bank of america;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Bank_of_America
goldman sachs;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Goldman_Sachs
pfizer;25;Male;Bachelor's degree;Germany;75;http://dbpedia.org/resource/Pfizer
