uri;european_capital_cities;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Paris;paris;27;Female;Master's degree;Germany;76
http://dbpedia.org/resource/Rome;rome;27;Female;Master's degree;Germany;76
http://dbpedia.org/resource/Berlin;berlin;27;Female;Master's degree;Germany;76
http://dbpedia.org/resource/Paris;paris;51;Male;High school degree or equivalent;Germany;77
http://dbpedia.org/resource/Lisbon;lisbon;51;Male;High school degree or equivalent;Germany;77
http://dbpedia.org/resource/Berlin;berlin;51;Male;High school degree or equivalent;Germany;77
http://dbpedia.org/resource/Berlin;berlin;26;Male;High school degree or equivalent;Germany;78
http://dbpedia.org/resource/Paris;paris;26;Male;High school degree or equivalent;Germany;78
http://dbpedia.org/resource/London;london;26;Male;High school degree or equivalent;Germany;78
http://dbpedia.org/resource/Paris;paris;27;Male;Bachelor's degree;Germany;79
http://dbpedia.org/resource/London;london;27;Male;Bachelor's degree;Germany;79
http://dbpedia.org/resource/Berlin;berlin;27;Male;Bachelor's degree;Germany;79
http://dbpedia.org/resource/Berlin;berlin;25;Male;Master's degree;Germany;80
http://dbpedia.org/resource/Paris;paris;25;Male;Master's degree;Germany;80
http://dbpedia.org/resource/Madrid;madrid;25;Male;Master's degree;Germany;80
http://dbpedia.org/resource/Madrid;madrid;25;Male;Bachelor's degree;Germany;81
http://dbpedia.org/resource/Paris;paris;25;Male;Bachelor's degree;Germany;81
http://dbpedia.org/resource/Berlin;berlin;25;Male;Bachelor's degree;Germany;81
http://dbpedia.org/resource/Valletta;valetta;21;Male;High school degree or equivalent;Germany;82
http://dbpedia.org/resource/Dublin;dublin;21;Male;High school degree or equivalent;Germany;82
http://dbpedia.org/resource/Reykjavík;reykjavik;21;Male;High school degree or equivalent;Germany;82
http://dbpedia.org/resource/Berlin;berlin;23;Female;Bachelor's degree;Germany;83
http://dbpedia.org/resource/Madrid;madrid;23;Female;Bachelor's degree;Germany;83
http://dbpedia.org/resource/Rome;rome;23;Female;Bachelor's degree;Germany;83
http://dbpedia.org/resource/Berlin;berlin;28;Female;Master's degree;Germany;84
http://dbpedia.org/resource/Paris;paris;28;Female;Master's degree;Germany;84
http://dbpedia.org/resource/Rome;rome;28;Female;Master's degree;Germany;84
http://dbpedia.org/resource/London;london;25;Female;Master's degree;Germany;85
http://dbpedia.org/resource/Vienna;vienna;25;Female;Master's degree;Germany;85
http://dbpedia.org/resource/Sofia;sofia;25;Female;Master's degree;Germany;85
http://dbpedia.org/resource/Paris;paris;25;Female;Bachelor's degree;Russia;86
http://dbpedia.org/resource/Copenhagen;copenhagen;25;Female;Bachelor's degree;Russia;86
https://dbpedia.org/resource/Brussels;brussels;25;Female;Bachelor's degree;Russia;86
http://dbpedia.org/resource/Lisbon;lisbon;24;Female;High school degree or equivalent;Germany;87
http://dbpedia.org/resource/Warsaw;warsaw;24;Female;High school degree or equivalent;Germany;87
http://dbpedia.org/resource/Rome;rome;24;Female;High school degree or equivalent;Germany;87
http://dbpedia.org/resource/Berlin;berlin;26;Male;Bachelor's degree;Germany;88
http://dbpedia.org/resource/Kyiv;kiev;26;Male;Bachelor's degree;Germany;88
http://dbpedia.org/resource/Warsaw;warsaw;26;Male;Bachelor's degree;Germany;88
http://dbpedia.org/resource/Berlin;berlin;27;Female;Master's degree;Germany;89
http://dbpedia.org/resource/Paris;paris;27;Female;Master's degree;Germany;89
http://dbpedia.org/resource/Madrid;madrid;27;Female;Master's degree;Germany;89
http://dbpedia.org/resource/Copenhagen;copenhagen;25;Male;Bachelor's degree;Germany;90
http://dbpedia.org/resource/Paris;paris;25;Male;Bachelor's degree;Germany;90
http://dbpedia.org/resource/Madrid;madrid;25;Male;Bachelor's degree;Germany;90
http://dbpedia.org/resource/Berlin;berlin;25;Male;High school degree or equivalent;Germany;91
http://dbpedia.org/resource/Paris;paris;25;Male;High school degree or equivalent;Germany;91
http://dbpedia.org/resource/Madrid;madrid;25;Male;High school degree or equivalent;Germany;91
http://dbpedia.org/resource/Berlin;berlin;28;Male;High school degree or equivalent;Germany;92
http://dbpedia.org/resource/Amsterdam;amsterdam;28;Male;High school degree or equivalent;Germany;92
http://dbpedia.org/resource/Copenhagen;copenhagen;28;Male;High school degree or equivalent;Germany;92
http://dbpedia.org/resource/London;london;47;Female;Bachelor's degree;England;93
http://dbpedia.org/resource/Madrid;madrid;47;Female;Bachelor's degree;England;93
http://dbpedia.org/resource/Rome;rome;47;Female;Bachelor's degree;England;93
http://dbpedia.org/resource/London;london;38;Male;Bachelor's degree;Germany;94
http://dbpedia.org/resource/Berlin;berlin;38;Male;Bachelor's degree;Germany;94
http://dbpedia.org/resource/Warsaw;warsaw;38;Male;Bachelor's degree;Germany;94
http://dbpedia.org/resource/Berlin;berlin;40;Female;Bachelor's degree;China;95
http://dbpedia.org/resource/London;london;40;Female;Bachelor's degree;China;95
http://dbpedia.org/resource/Paris;paris;40;Female;Bachelor's degree;China;95
http://dbpedia.org/resource/Helsinki;helsinki;28;Female;High school degree or equivalent;Pakistan;96
http://dbpedia.org/resource/Berlin;berlin;28;Female;High school degree or equivalent;Pakistan;96
http://dbpedia.org/resource/Rome;rome;28;Female;High school degree or equivalent;Pakistan;96
http://dbpedia.org/resource/Berlin;berlin;48;Female;Master's degree;Germany;97
http://dbpedia.org/resource/Paris;paris;48;Female;Master's degree;Germany;97
http://dbpedia.org/resource/London;london;48;Female;Master's degree;Germany;97
http://dbpedia.org/resource/Reykjavík;reykjavik;26;Male;Less than a high school degree;Germany;98
http://dbpedia.org/resource/Oslo;oslo;26;Male;Less than a high school degree;Germany;98
http://dbpedia.org/resource/Helsinki;helsinki;26;Male;Less than a high school degree;Germany;98
http://dbpedia.org/resource/Berlin;berlin;26;Female;High school degree or equivalent;Germany;99
http://dbpedia.org/resource/Sofia;sofia;26;Female;High school degree or equivalent;Germany;99
http://dbpedia.org/resource/Helsinki;helsinki;26;Female;High school degree or equivalent;Germany;99
http://dbpedia.org/resource/Paris;paris;45;Female;Bachelor's degree;USA;100
http://dbpedia.org/resource/Lisbon;lisbon;45;Female;Bachelor's degree;USA;100
http://dbpedia.org/resource/Berlin;berlin;45;Female;Bachelor's degree;USA;100
http://dbpedia.org/resource/Barcelona;barcelona;23;Female;Master's degree;England;101
http://dbpedia.org/resource/London;london;23;Female;Master's degree;England;101
http://dbpedia.org/resource/Dublin;dublin;23;Female;Master's degree;England;101
http://dbpedia.org/resource/London;london;26;Female;Bachelor's degree;Germany;102
http://dbpedia.org/resource/Paris;paris;26;Female;Bachelor's degree;Germany;102
http://dbpedia.org/resource/Berlin;berlin;26;Female;Bachelor's degree;Germany;102
http://dbpedia.org/resource/Paris;paris;70;Female;Master's degree;Germany;103
http://dbpedia.org/resource/Berlin;berlin;70;Female;Master's degree;Germany;103
http://dbpedia.org/resource/Rome;rome;70;Female;Master's degree;Germany;103
http://dbpedia.org/resource/Dublin;dublin;33;Female;Master's degree;Iran;104
http://dbpedia.org/resource/London;london;33;Female;Master's degree;Iran;104
http://dbpedia.org/resource/Belfast;belfast;33;Female;Master's degree;Iran;104
http://dbpedia.org/resource/Paris;paris;59;Male;Doctorate (e.g. PhD);Germany;105
http://dbpedia.org/resource/London;london;59;Male;Doctorate (e.g. PhD);Germany;105
http://dbpedia.org/resource/Helsinki;helsinki;59;Male;Doctorate (e.g. PhD);Germany;105
http://dbpedia.org/resource/Paris;paris;47;Female;Doctorate (e.g. PhD);Germany;106
http://dbpedia.org/resource/London;london;47;Female;Doctorate (e.g. PhD);Germany;106
http://dbpedia.org/resource/Berlin;berlin;47;Female;Doctorate (e.g. PhD);Germany;106
http://dbpedia.org/resource/Paris;paris;50;Female;Doctorate (e.g. PhD);Germany;107
http://dbpedia.org/resource/Rome;rome;50;Female;Doctorate (e.g. PhD);Germany;107
http://dbpedia.org/resource/London;london;50;Female;Doctorate (e.g. PhD);Germany;107
http://dbpedia.org/resource/Vienna;vienna;45;Female;Doctorate (e.g. PhD);Germany;108
http://dbpedia.org/resource/Berlin;berlin;45;Female;Doctorate (e.g. PhD);Germany;108
http://dbpedia.org/resource/Moscow;moscow;45;Female;Doctorate (e.g. PhD);Germany;108
