uri;european_countries;p_age;p_gender;p_education;p_country;p_id
http://dbpedia.org/resource/Germany;germany;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Spain;spain;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/France;france;27;Female;Master's degree;germany;89
http://dbpedia.org/resource/Romania;romania;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Greece;greece;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Denmark;denmark;25;Male;Bachelor's degree;germany;90
http://dbpedia.org/resource/Germany;germany;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/Spain;spain;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/France;france;25;Male;High school degree or equivalent;germany;91
http://dbpedia.org/resource/Germany;germany;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/Poland;poland;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/Italy;italy;28;Male;High school degree or equivalent;germany;92
http://dbpedia.org/resource/United_Kingdom;united kingdom;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Spain;spain;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/Germany;germany;47;Female;Bachelor's degree;england;93
http://dbpedia.org/resource/France;france;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Germany;germany;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Poland;poland;38;Male;Bachelor's degree;germany;94
http://dbpedia.org/resource/Germany;germany;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/United_Kingdom;united kingdom;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/France;france;40;Female;Bachelor's degree;china;95
http://dbpedia.org/resource/Germany;germany;28;Female;High school degree or equivalent;pakistan;96
http://dbpedia.org/resource/Italy;italy;28;Female;High school degree or equivalent;pakistan;96
http://dbpedia.org/resource/Spain;spain;28;Female;High school degree or equivalent;pakistan;96
http://dbpedia.org/resource/Germany;germany;48;Female;Diplom;germany;97
http://dbpedia.org/resource/France;france;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Austria;austria;48;Female;Diplom;germany;97
http://dbpedia.org/resource/Iceland;iceland;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Sweden;sweden;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Portugal;portugal;26;Male;Less than a high school degree;germany;98
http://dbpedia.org/resource/Germany;germany;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Poland;poland;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/Spain;spain;26;Female;High school degree or equivalent;germany;99
http://dbpedia.org/resource/United_Kingdom;united kingdom;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Germany;germany;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/France;france;45;Female;Bachelor's degree;usa;100
http://dbpedia.org/resource/Italy;italy;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Spain;spain;23;Female;Master's degree;england;101
http://dbpedia.org/resource/France;france;23;Female;Master's degree;england;101
http://dbpedia.org/resource/Italy;italy;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Spain;spain;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/France;france;26;Female;Bachelor's degree;germany;102
http://dbpedia.org/resource/Germany;germany;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Spain;spain;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Italy;italy;70;Female;Dipl.-Ing.;germany;103
http://dbpedia.org/resource/Republic_of_Ireland;republic of ireland;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/United_Kingdom;united kingdom;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/Germany;germany;33;Female;Master's degree;iran;104
http://dbpedia.org/resource/France;france;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Germany;germany;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Italy;italy;59;Male;Doctorate (e.g. PhD);germany;105
http://dbpedia.org/resource/Malta;malta;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/France;france;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Germany;germany;47;Female;Doctorate (e.g. PhD);germany;106
http://dbpedia.org/resource/Germany;germany;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Denmark;denmark;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Poland;poland;50;Female;Doctorate (e.g. PhD);germany;107
http://dbpedia.org/resource/Lithuania;lithuania;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/Germany;germany;45;Female;Doctorate (e.g. PhD);germany;108
http://dbpedia.org/resource/Sweden;sweden;45;Female;Doctorate (e.g. PhD);germany;108
