"bird","name"
"http://dbpedia.org/resource/List_of_United_Kingdom_bird_clubs_and_ornithological_societies","List of United Kingdom bird clubs and ornithological societies"
"http://dbpedia.org/resource/Magnificent_riflebird","Magnificent riflebird"
"http://dbpedia.org/resource/Mascarene_coot","Mascarene coot"
"http://dbpedia.org/resource/Mascarene_teal","Mascarene teal"
"http://dbpedia.org/resource/Mauritius_sheldgoose","Mauritius sheldgoose"
"http://dbpedia.org/resource/Narina_trogon","Narina trogon"
"http://dbpedia.org/resource/Naung_Mung_scimitar_babbler","Naung Mung scimitar babbler"
"http://dbpedia.org/resource/Pale-footed_bush_warbler","Pale-footed bush warbler"
"http://dbpedia.org/resource/Polytelis","Polytelis"
"http://dbpedia.org/resource/Rodrigues_night_heron","Rodrigues night heron"
"http://dbpedia.org/resource/Rodrigues_parrot","Rodrigues parrot"
"http://dbpedia.org/resource/Rodrigues_pigeon","Rodrigues pigeon"
"http://dbpedia.org/resource/Rodrigues_rail","Rodrigues rail"
"http://dbpedia.org/resource/Rufous-and-white_wren","Rufous-and-white wren"
"http://dbpedia.org/resource/Réunion_kestrel","Réunion kestrel"
"http://dbpedia.org/resource/Réunion_night_heron","Réunion night heron"
"http://dbpedia.org/resource/Réunion_owl","Réunion owl"
"http://dbpedia.org/resource/Réunion_pink_pigeon","Réunion pink pigeon"
"http://dbpedia.org/resource/Réunion_sheldgoose","Réunion sheldgoose"
"http://dbpedia.org/resource/Sooty-capped_babbler","Sooty-capped babbler"
"http://dbpedia.org/resource/Spectacled_bulbul","Spectacled bulbul"
"http://dbpedia.org/resource/Straw_Man_(comics)","Straw Man (comics)"
"http://dbpedia.org/resource/Superb_parrot","Superb parrot"
"http://dbpedia.org/resource/Sylviornis","Sylviornis"
"http://dbpedia.org/resource/Thick-billed_ground_dove","Thick-billed ground dove"
"http://dbpedia.org/resource/Wake_Island_rail","Wake Island rail"
"http://dbpedia.org/resource/White-breasted_wood_wren","White-breasted wood wren"
"http://dbpedia.org/resource/White-whiskered_puffbird","White-whiskered puffbird"
"http://dbpedia.org/resource/Beach_Picnic_(film)","Beach Picnic (film)"
"http://dbpedia.org/resource/Bee_at_the_Beach","Bee at the Beach"
"http://dbpedia.org/resource/Biseni_Forest","Biseni Forest"
"http://dbpedia.org/resource/Bootle_Beetle","Bootle Beetle"
"http://dbpedia.org/resource/Breckland_Forest","Breckland Forest"
"http://dbpedia.org/resource/Cavenham–Icklingham_Heaths","Cavenham–Icklingham Heaths"
"http://dbpedia.org/resource/Chef_Donald","Chef Donald"
"http://dbpedia.org/resource/Contrary_Condor","Contrary Condor"
"http://dbpedia.org/resource/Crazy_Over_Daisy","Crazy Over Daisy"
"http://dbpedia.org/resource/Crazy_with_the_Heat","Crazy with the Heat"
"http://dbpedia.org/resource/Daddy_Duck","Daddy Duck"
"http://dbpedia.org/resource/Donald's_Camera","Donald's Camera"
"http://dbpedia.org/resource/Donald's_Diary","Donald's Diary"
"http://dbpedia.org/resource/Donald's_Dog_Laundry","Donald's Dog Laundry"
"http://dbpedia.org/resource/Donald's_Double_Trouble","Donald's Double Trouble"
"http://dbpedia.org/resource/Donald's_Dream_Voice","Donald's Dream Voice"
"http://dbpedia.org/resource/Donald's_Fire_Survival_Plan","Donald's Fire Survival Plan"
"http://dbpedia.org/resource/Donald's_Garden","Donald's Garden"
"http://dbpedia.org/resource/Donald's_Gold_Mine","Donald's Gold Mine"
"http://dbpedia.org/resource/Donald's_Happy_Birthday","Donald's Happy Birthday"
"http://dbpedia.org/resource/Donald's_Penguin","Donald's Penguin"
"http://dbpedia.org/resource/Donald_Applecore","Donald Applecore"
"http://dbpedia.org/resource/Dragon_Around","Dragon Around"
"http://dbpedia.org/resource/Dude_Duck","Dude Duck"
"http://dbpedia.org/resource/Early_to_Bed_(1941_film)","Early to Bed (1941 film)"
"http://dbpedia.org/resource/Golden_Eggs_(film)","Golden Eggs (film)"
"http://dbpedia.org/resource/Honey_Harvester","Honey Harvester"
"http://dbpedia.org/resource/How_Hill_Track","How Hill Track"
"http://dbpedia.org/resource/Inferior_Decorator","Inferior Decorator"
"http://dbpedia.org/resource/Karaivetti_Bird_Sanctuary","Karaivetti Bird Sanctuary"
"http://dbpedia.org/resource/Lakenheath_Warren","Lakenheath Warren"
"http://dbpedia.org/resource/Let's_Stick_Together_(film)","Let's Stick Together (film)"
"http://dbpedia.org/resource/Lighthouse_Keeping","Lighthouse Keeping"
"http://dbpedia.org/resource/Lucky_Number_(film)","Lucky Number (film)"
"http://dbpedia.org/resource/Officer_Duck","Officer Duck"
"http://dbpedia.org/resource/Out_of_Scale","Out of Scale"
"http://dbpedia.org/resource/Pakefield_to_Easton_Bavents","Pakefield to Easton Bavents"
"http://dbpedia.org/resource/Put-Put_Troubles","Put-Put Troubles"
"http://dbpedia.org/resource/Sea_Salts","Sea Salts"
"http://dbpedia.org/resource/Sleepy_Time_Donald","Sleepy Time Donald"
"http://dbpedia.org/resource/Spare_the_Rod_(1954_film)","Spare the Rod (1954 film)"
