"book","name"
"http://dbpedia.org/resource/Guanidinopropionic_acid","Guanidinopropionic acid"
"http://dbpedia.org/resource/Half_the_Blood_of_Brooklyn","Half the Blood of Brooklyn"
"http://dbpedia.org/resource/Handbook_of_Religion_and_Health","Handbook of Religion and Health"
"http://dbpedia.org/resource/Harare_North","Harare North"
"http://dbpedia.org/resource/Haskell_Platform","Haskell Platform"
"http://dbpedia.org/resource/Heart's_Desire_(book)","Heart's Desire (book)"
"http://dbpedia.org/resource/Heroic_Visions","Heroic Visions"
"http://dbpedia.org/resource/Heroic_Visions_II","Heroic Visions II"
"http://dbpedia.org/resource/History_Upside_Down","History Upside Down"
"http://dbpedia.org/resource/Home_Office_travel_document","Home Office travel document"
"http://dbpedia.org/resource/Hush,_Hush","Hush, Hush"
"http://dbpedia.org/resource/I_Ching","I Ching"
"http://dbpedia.org/resource/I_Don't_Care_About_Your_Band","I Don't Care About Your Band"
"http://dbpedia.org/resource/Illustrations_of_the_Family_of_Psittacidae,_or_Parrots","Illustrations of the Family of Psittacidae, or Parrots"
"http://dbpedia.org/resource/Inventing_the_AIDS_Virus","Inventing the AIDS Virus"
"http://dbpedia.org/resource/Irish_genealogy","Irish genealogy"
"http://dbpedia.org/resource/Iro_ni_Ide_ni_Keri_Waga_Koi_wa","Iro ni Ide ni Keri Waga Koi wa"
"http://dbpedia.org/resource/Izalatul_Khafa'an_Khilafatul_Khulafa","Izalatul Khafa'an Khilafatul Khulafa"
"http://dbpedia.org/resource/JQuery_UI","JQuery UI"
"http://dbpedia.org/resource/Jacques_Dumont_le_Romain","Jacques Dumont le Romain"
"http://dbpedia.org/resource/Jyotirmimamsa","Jyotirmimamsa"
"http://dbpedia.org/resource/Kabyle_grammar","Kabyle grammar"
"http://dbpedia.org/resource/Kickback_(album)","Kickback (album)"
"http://dbpedia.org/resource/Kimi_no_Nagori_wa_Shizuka_ni_Yurete","Kimi no Nagori wa Shizuka ni Yurete"
"http://dbpedia.org/resource/Lectionary_1386","Lectionary 1386"
"http://dbpedia.org/resource/Lectionary_186","Lectionary 186"
"http://dbpedia.org/resource/Lectionary_187","Lectionary 187"
"http://dbpedia.org/resource/Lectionary_188","Lectionary 188"
"http://dbpedia.org/resource/Lectionary_189","Lectionary 189"
"http://dbpedia.org/resource/Lectionary_190","Lectionary 190"
"http://dbpedia.org/resource/Lectionary_191","Lectionary 191"
