"90film","name"
"http://dbpedia.org/resource/Aniyan_Bava_Chetan_Bava","Aniyan Bava Chetan Bava"
"http://dbpedia.org/resource/Aranmanai_Kili","Aranmanai Kili"
"http://dbpedia.org/resource/Atlantis_(1991_film)","Atlantis (1991 film)"
"http://dbpedia.org/resource/B._Monkey","B. Monkey"
"http://dbpedia.org/resource/Bad_Behaviour_(1993_film)","Bad Behaviour (1993 film)"
"http://dbpedia.org/resource/Bak_sju_hav","Bak sju hav"
"http://dbpedia.org/resource/Basil_(film)","Basil (film)"
"http://dbpedia.org/resource/Before_Women_Had_Wings","Before Women Had Wings"
"http://dbpedia.org/resource/Bikinisesongen","Bikinisesongen"
"http://dbpedia.org/resource/Blonde_Fist","Blonde Fist"
"http://dbpedia.org/resource/Bornholms_stemme","Bornholms stemme"
"http://dbpedia.org/resource/Bryllupsfotografen","Bryllupsfotografen"
"http://dbpedia.org/resource/Buicken_–_store_gutter_gråter_ikke","Buicken – store gutter gråter ikke"
"http://dbpedia.org/resource/Burnt_by_Frost","Burnt by Frost"
"http://dbpedia.org/resource/Byttinger","Byttinger"
"http://dbpedia.org/resource/Chenkol","Chenkol"
"http://dbpedia.org/resource/Crackerjack_(1994_film)","Crackerjack (1994 film)"
"http://dbpedia.org/resource/Curtain_Call_(1998_film)","Curtain Call (1998 film)"
"http://dbpedia.org/resource/Daadagiri","Daadagiri"
"http://dbpedia.org/resource/Daddy_(1991_film)","Daddy (1991 film)"
"http://dbpedia.org/resource/Das_merkwürdige_Verhalten_geschlechtsreifer_Großstädter_zur_Paarungszeit","Das merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit"
"http://dbpedia.org/resource/Deepasthambham_Mahascharyam","Deepasthambham Mahascharyam"
"http://dbpedia.org/resource/Delusion_(1998_film)","Delusion (1998 film)"
"http://dbpedia.org/resource/Drömkåken","Drömkåken"
"http://dbpedia.org/resource/Duel_of_Hearts","Duel of Hearts"
"http://dbpedia.org/resource/Déjà_Vu_(1997_film)","Déjà Vu (1997 film)"
"http://dbpedia.org/resource/Eighteen_Springs_(film)","Eighteen Springs (film)"
"http://dbpedia.org/resource/Electric_Moon","Electric Moon"
"http://dbpedia.org/resource/Elmo_Says_Boo!","Elmo Says Boo!"
"http://dbpedia.org/resource/Empty_Cradle","Empty Cradle"
"http://dbpedia.org/resource/Ennum_Nanmakal","Ennum Nanmakal"
"http://dbpedia.org/resource/Expect_the_Unexpected_(film)","Expect the Unexpected (film)"
"http://dbpedia.org/resource/Family_Prayers","Family Prayers"
"http://dbpedia.org/resource/Fires_Within","Fires Within"
"http://dbpedia.org/resource/Free_Fall_(1999_film)","Free Fall (1999 film)"
"http://dbpedia.org/resource/Gaayam","Gaayam"
"http://dbpedia.org/resource/Gair_(film)","Gair (film)"
"http://dbpedia.org/resource/Gandhari_(film)","Gandhari (film)"
