"usCo","name"
"http://dbpedia.org/resource/Laminar_Research","Laminar Research"
"http://dbpedia.org/resource/Vought","Vought"
"http://dbpedia.org/resource/W&P_Subdivision","W&P Subdivision"
"http://dbpedia.org/resource/Atlanta_Terminal_Subdivision","Atlanta Terminal Subdivision"
"http://dbpedia.org/resource/CSX_Transportation_Building","CSX Transportation Building"
"http://dbpedia.org/resource/Coal_River_Subdivision","Coal River Subdivision"
"http://dbpedia.org/resource/KD_Subdivision","KD Subdivision"
"http://dbpedia.org/resource/Plant_City,_Arcadia,_and_Gulf_Railroad","Plant City, Arcadia, and Gulf Railroad"
"http://dbpedia.org/resource/Tampa_Northern_Railroad","Tampa Northern Railroad"
"http://dbpedia.org/resource/History_of_Pop_(American_TV_channel)","History of Pop (American TV channel)"
"http://dbpedia.org/resource/List_of_American_truck_manufacturers","List of American truck manufacturers"
"http://dbpedia.org/resource/List_of_automobile_manufacturers_of_the_United_States","List of automobile manufacturers of the United States"
"http://dbpedia.org/resource/List_of_defunct_airports_in_the_United_States","List of defunct airports in the United States"
"http://dbpedia.org/resource/Zike_(company)","Zike (company)"
"http://dbpedia.org/resource/Charleston_Mercury","Charleston Mercury"
"http://dbpedia.org/resource/List_of_breweries_in_Connecticut","List of breweries in Connecticut"
"http://dbpedia.org/resource/List_of_breweries_in_Rhode_Island","List of breweries in Rhode Island"
"http://dbpedia.org/resource/List_of_companies_based_in_Westport,_Connecticut","List of companies based in Westport, Connecticut"
"http://dbpedia.org/resource/Palmetto_Electric","Palmetto Electric"
"http://dbpedia.org/resource/Brewing_in_Nebraska","Brewing in Nebraska"
"http://dbpedia.org/resource/List_of_breweries_in_Georgia_(U.S._state)","List of breweries in Georgia (U.S. state)"
"http://dbpedia.org/resource/SIB_Development_&_Consulting","SIB Development & Consulting"
"http://dbpedia.org/resource/List_of_Rhode_Island_companies","List of Rhode Island companies"
"http://dbpedia.org/resource/List_of_companies_based_in_Norwalk,_Connecticut","List of companies based in Norwalk, Connecticut"
"http://dbpedia.org/resource/List_of_companies_based_in_Olympia,_Washington","List of companies based in Olympia, Washington"
"http://dbpedia.org/resource/Bloomington_Viaduct","Bloomington Viaduct"
"http://dbpedia.org/resource/Carrollton_Viaduct","Carrollton Viaduct"
"http://dbpedia.org/resource/Multimedia_(media_company)","Multimedia (media company)"
"http://dbpedia.org/resource/The_Cigar_Store_Indian","The Cigar Store Indian"
"http://dbpedia.org/resource/Thomas_Viaduct","Thomas Viaduct"
"http://dbpedia.org/resource/AVX_Corporation","AVX Corporation"
"http://dbpedia.org/resource/Saginaw_Subdivision","Saginaw Subdivision"
"http://dbpedia.org/resource/2015_Tennessee_train_derailment","2015 Tennessee train derailment"
"http://dbpedia.org/resource/Charlotte_Running_Track","Charlotte Running Track"
"http://dbpedia.org/resource/List_of_Minnesota_companies","List of Minnesota companies"
"http://dbpedia.org/resource/Fulton_Yard","Fulton Yard"
"http://dbpedia.org/resource/BlueCross_BlueShield_of_South_Carolina","BlueCross BlueShield of South Carolina"
"http://dbpedia.org/resource/Sod_Solutions","Sod Solutions"
"http://dbpedia.org/resource/Arcadia_Mill_No._1","Arcadia Mill No. 1"
"http://dbpedia.org/resource/ExpressRail","ExpressRail"
"http://dbpedia.org/resource/De_Witt_Yard","De Witt Yard"
"http://dbpedia.org/resource/Belton_Subdivision","Belton Subdivision"
"http://dbpedia.org/resource/Monroe_Subdivision","Monroe Subdivision"
"http://dbpedia.org/resource/New_River_Subdivision","New River Subdivision"
"http://dbpedia.org/resource/Norlina_Subdivision","Norlina Subdivision"
"http://dbpedia.org/resource/North_End_Subdivision","North End Subdivision"
"http://dbpedia.org/resource/Orangeburg_Subdivision","Orangeburg Subdivision"
"http://dbpedia.org/resource/Pine_Creek_Subdivision","Pine Creek Subdivision"
"http://dbpedia.org/resource/Piney_Creek_Subdivision","Piney Creek Subdivision"
"http://dbpedia.org/resource/Pond_Fork_Subdivision","Pond Fork Subdivision"
"http://dbpedia.org/resource/Portsmouth_Subdivision","Portsmouth Subdivision"
"http://dbpedia.org/resource/Tarboro_Subdivision","Tarboro Subdivision"
"http://dbpedia.org/resource/Cross_Subdivision","Cross Subdivision"
"http://dbpedia.org/resource/Florence_Division","Florence Division"
"http://dbpedia.org/resource/Seth_Subdivision","Seth Subdivision"
"http://dbpedia.org/resource/Sewell_Valley_Subdivision","Sewell Valley Subdivision"
"http://dbpedia.org/resource/South_End_Subdivision","South End Subdivision"
"http://dbpedia.org/resource/Spartanburg_Subdivision","Spartanburg Subdivision"
"http://dbpedia.org/resource/Terrell_Subdivision","Terrell Subdivision"
"http://dbpedia.org/resource/W&W_Subdivision","W&W Subdivision"
"http://dbpedia.org/resource/West_Fork_Subdivision","West Fork Subdivision"
"http://dbpedia.org/resource/List_of_defunct_breweries_in_the_United_States","List of defunct breweries in the United States"
"http://dbpedia.org/resource/Amtrak","Amtrak"
"http://dbpedia.org/resource/List_of_tenants_in_1_World_Trade_Center","List of tenants in 1 World Trade Center"
"http://dbpedia.org/resource/Belt_Railway_of_Chicago","Belt Railway of Chicago"
"http://dbpedia.org/resource/Blue_Ridge_Tunnel","Blue Ridge Tunnel"
"http://dbpedia.org/resource/Conrail","Conrail"
"http://dbpedia.org/resource/Liberty_Corporation","Liberty Corporation"
"http://dbpedia.org/resource/West_Orange_Trail","West Orange Trail"
"http://dbpedia.org/resource/Baltimore_Belt_Line","Baltimore Belt Line"
"http://dbpedia.org/resource/Canton_Viaduct","Canton Viaduct"
"http://dbpedia.org/resource/Church_Hill_Tunnel","Church Hill Tunnel"
"http://dbpedia.org/resource/List_of_tenants_in_7_World_Trade_Center","List of tenants in 7 World Trade Center"
"http://dbpedia.org/resource/Milliken_&_Company","Milliken & Company"
"http://dbpedia.org/resource/Old_Main_Line_Subdivision","Old Main Line Subdivision"
"http://dbpedia.org/resource/Parkersburg_Bridge_(CSX)","Parkersburg Bridge (CSX)"
"http://dbpedia.org/resource/Apopka_Seaboard_Air_Line_Railway_Depot","Apopka Seaboard Air Line Railway Depot"
"http://dbpedia.org/resource/Boca_Express_Train_Museum","Boca Express Train Museum"
