"fastFood","name"
"http://dbpedia.org/resource/Roast_beef_sandwich","Roast beef sandwich"
"http://dbpedia.org/resource/Robert's_Coffee","Robert's Coffee"
"http://dbpedia.org/resource/The_Pizza_Show","The Pizza Show"
"http://dbpedia.org/resource/Taylor_St_Baristas","Taylor St Baristas"
"http://dbpedia.org/resource/Unicorn_Frappuccino","Unicorn Frappuccino"
"http://dbpedia.org/resource/Bridge_City_Pizza","Bridge City Pizza"
"http://dbpedia.org/resource/Bridgehead_Coffee","Bridgehead Coffee"
"http://dbpedia.org/resource/Brown_rice","Brown rice"
"http://dbpedia.org/resource/Bubba_Cathy","Bubba Cathy"
"http://dbpedia.org/resource/Burger_King_breakfast_sandwiches","Burger King breakfast sandwiches"
"http://dbpedia.org/resource/Burger_King_grilled_chicken_sandwiches","Burger King grilled chicken sandwiches"
"http://dbpedia.org/resource/Cadena_Cafes_Limited","Cadena Cafes Limited"
"http://dbpedia.org/resource/Cafe_Barbera","Cafe Barbera"
"http://dbpedia.org/resource/Cafe_Fantasy","Cafe Fantasy"
"http://dbpedia.org/resource/Cafe_Mondegar","Cafe Mondegar"
"http://dbpedia.org/resource/Caffe_Bene","Caffe Bene"
"http://dbpedia.org/resource/Caffè_Florian","Caffè Florian"
"http://dbpedia.org/resource/Caffè_Giubbe_Rosse","Caffè Giubbe Rosse"
"http://dbpedia.org/resource/Caffè_Lena","Caffè Lena"
"http://dbpedia.org/resource/Caffè_Nero","Caffè Nero"
"http://dbpedia.org/resource/Café_A_Brasileira_(Braga)","Café A Brasileira (Braga)"
"http://dbpedia.org/resource/Café_Amazon","Café Amazon"
"http://dbpedia.org/resource/Café_Coffee_Day","Café Coffee Day"
"http://dbpedia.org/resource/Café_Gondrée","Café Gondrée"
"http://dbpedia.org/resource/Café_del_Mar","Café del Mar"
"http://dbpedia.org/resource/Café_du_Monde","Café du Monde"
"http://dbpedia.org/resource/Caribou_Coffee","Caribou Coffee"
"http://dbpedia.org/resource/Church_of_Our_Savior_(Boynton_Beach,_Florida)","Church of Our Savior (Boynton Beach, Florida)"
"http://dbpedia.org/resource/Cibo_Espresso","Cibo Espresso"
"http://dbpedia.org/resource/Closed_on_Sunday","Closed on Sunday"
"http://dbpedia.org/resource/Cockle_(bivalve)","Cockle (bivalve)"
"http://dbpedia.org/resource/Coffee_Beanery","Coffee Beanery"
"http://dbpedia.org/resource/Coffee_Fellows","Coffee Fellows"
"http://dbpedia.org/resource/Coffee_Republic","Coffee Republic"
"http://dbpedia.org/resource/Coffee_Time","Coffee Time"
"http://dbpedia.org/resource/Coffee_Time_(Portland,_Oregon)","Coffee Time (Portland, Oregon)"
"http://dbpedia.org/resource/Coffee_World","Coffee World"
"http://dbpedia.org/resource/Coffine_Gurunaru","Coffine Gurunaru"
