"actor","name"
"http://dbpedia.org/resource/Danish_Taimoor","Danish Taimoor"
"http://dbpedia.org/resource/David_Coburn_(actor)","David Coburn (actor)"
"http://dbpedia.org/resource/David_Judge_(actor)","David Judge (actor)"
"http://dbpedia.org/resource/Deon_Stewardson","Deon Stewardson"
"http://dbpedia.org/resource/Derek_Phillips_(actor)","Derek Phillips (actor)"
"http://dbpedia.org/resource/Dermot_Crowley","Dermot Crowley"
"http://dbpedia.org/resource/Dieter_Pfaff","Dieter Pfaff"
"http://dbpedia.org/resource/Diljit_Dosanjh","Diljit Dosanjh"
"http://dbpedia.org/resource/Dvir_Benedek","Dvir Benedek"
"http://dbpedia.org/resource/Dylan_Everett","Dylan Everett"
"http://dbpedia.org/resource/Eddie_Korbich","Eddie Korbich"
"http://dbpedia.org/resource/Edmond_Beauchamp","Edmond Beauchamp"
"http://dbpedia.org/resource/Edward_Hogg","Edward Hogg"
"http://dbpedia.org/resource/Edwin_Hodge","Edwin Hodge"
"http://dbpedia.org/resource/Erik_Schumann","Erik Schumann"
"http://dbpedia.org/resource/Erol_Taş","Erol Taş"
"http://dbpedia.org/resource/Fay_Roope","Fay Roope"
"http://dbpedia.org/resource/Fernando_Sánchez_Polack","Fernando Sánchez Polack"
"http://dbpedia.org/resource/Gabriel_Cattand","Gabriel Cattand"
"http://dbpedia.org/resource/George_Cisar_(actor)","George Cisar (actor)"
"http://dbpedia.org/resource/George_Waring_(actor)","George Waring (actor)"
"http://dbpedia.org/resource/Giannis_Voglis","Giannis Voglis"
"http://dbpedia.org/resource/Glenn_Hunter_(actor)","Glenn Hunter (actor)"
"http://dbpedia.org/resource/Grayson_Russell","Grayson Russell"
"http://dbpedia.org/resource/Gunnar_Höglund","Gunnar Höglund"
"http://dbpedia.org/resource/Gustl_Bayrhammer","Gustl Bayrhammer"
"http://dbpedia.org/resource/Ha_Jung-woo","Ha Jung-woo"
"http://dbpedia.org/resource/Hayati_Hamzaoğlu","Hayati Hamzaoğlu"
"http://dbpedia.org/resource/Hideyo_Fujita","Hideyo Fujita"
"http://dbpedia.org/resource/Hou_Yong_(actor)","Hou Yong (actor)"
"http://dbpedia.org/resource/Howard_Smith_(actor)","Howard Smith (actor)"
"http://dbpedia.org/resource/Hugh_Miller_(actor)","Hugh Miller (actor)"
"http://dbpedia.org/resource/Ilkka_Villi","Ilkka Villi"
"http://dbpedia.org/resource/Indrek_Sammul","Indrek Sammul"
"http://dbpedia.org/resource/Ingjald_Haaland","Ingjald Haaland"
"http://dbpedia.org/resource/Ismael_Merlo","Ismael Merlo"
"http://dbpedia.org/resource/J._B._Adams","J. B. Adams"
"http://dbpedia.org/resource/J._Teddy_Garces","J. Teddy Garces"
"http://dbpedia.org/resource/Jack_Charles_(actor)","Jack Charles (actor)"
"http://dbpedia.org/resource/Jack_Melford","Jack Melford"
"http://dbpedia.org/resource/Jackson_Brundage","Jackson Brundage"
"http://dbpedia.org/resource/James_Morgan_(actor)","James Morgan (actor)"
"http://dbpedia.org/resource/Jamison_Jones","Jamison Jones"
"http://dbpedia.org/resource/Jan_Voigt","Jan Voigt"
"http://dbpedia.org/resource/Janusz_Zakrzeński","Janusz Zakrzeński"
"http://dbpedia.org/resource/Jason_Francisco","Jason Francisco"
"http://dbpedia.org/resource/Jason_Manuel_Olazabal","Jason Manuel Olazabal"
"http://dbpedia.org/resource/Jason_Watkins","Jason Watkins"
"http://dbpedia.org/resource/Jaswinder_Bhalla","Jaswinder Bhalla"
"http://dbpedia.org/resource/Jean-Marc_Bory","Jean-Marc Bory"
"http://dbpedia.org/resource/Jeany_Spark","Jeany Spark"
"http://dbpedia.org/resource/Jed_Rees","Jed Rees"
"http://dbpedia.org/resource/Jeremy_Irons","Jeremy Irons"
"http://dbpedia.org/resource/Jeremy_Shada","Jeremy Shada"
"http://dbpedia.org/resource/Jerry_Verno","Jerry Verno"
"http://dbpedia.org/resource/Jesper_Klein","Jesper Klein"
"http://dbpedia.org/resource/John_Brown_(actor)","John Brown (actor)"
"http://dbpedia.org/resource/John_Edwin_(1768–1805)","John Edwin (1768–1805)"
"http://dbpedia.org/resource/John_Garrick","John Garrick"
"http://dbpedia.org/resource/John_P._McGarr","John P. McGarr"
"http://dbpedia.org/resource/Jonas_Falk","Jonas Falk"
"http://dbpedia.org/resource/José_Carlos_Ruiz","José Carlos Ruiz"
"http://dbpedia.org/resource/Julian_Mayfield","Julian Mayfield"
"http://dbpedia.org/resource/Julián_Gil","Julián Gil"
"http://dbpedia.org/resource/Julián_Mateos","Julián Mateos"
"http://dbpedia.org/resource/Jung_Han-yong","Jung Han-yong"
"http://dbpedia.org/resource/Kaarlo_Halttunen","Kaarlo Halttunen"
"http://dbpedia.org/resource/Kalyanam_Raghuramaiah","Kalyanam Raghuramaiah"
"http://dbpedia.org/resource/Kevin_Rankin_(actor)","Kevin Rankin (actor)"
"http://dbpedia.org/resource/Kim_Haugen","Kim Haugen"
"http://dbpedia.org/resource/Landon_Ashworth","Landon Ashworth"
"http://dbpedia.org/resource/Lars_Passgård","Lars Passgård"
"http://dbpedia.org/resource/Lee_Hyun-woo_(actor,_born_1993)","Lee Hyun-woo (actor, born 1993)"
"http://dbpedia.org/resource/Lee_Soon-jae","Lee Soon-jae"
"http://dbpedia.org/resource/Leif_Andrée","Leif Andrée"
"http://dbpedia.org/resource/Leo_Bill","Leo Bill"
