"pol","name"
"http://dbpedia.org/resource/A._Sabapathy","A. Sabapathy"
"http://dbpedia.org/resource/A._Scott_Anderson","A. Scott Anderson"
"http://dbpedia.org/resource/A._Scott_Sloan","A. Scott Sloan"
"http://dbpedia.org/resource/A._Seshayya_Sastri","A. Seshayya Sastri"
"http://dbpedia.org/resource/A._Shane_Massey","A. Shane Massey"
"http://dbpedia.org/resource/A._Shanker_Alva","A. Shanker Alva"
"http://dbpedia.org/resource/A._Sivasunderam","A. Sivasunderam"
"http://dbpedia.org/resource/A._T._Moorthy","A. T. Moorthy"
"http://dbpedia.org/resource/A._T._Patil","A. T. Patil"
"http://dbpedia.org/resource/A._T._Sanders_Jr.","A. T. Sanders Jr."
"http://dbpedia.org/resource/A._T._Van_de_Vanter","A. T. Van de Vanter"
"http://dbpedia.org/resource/A._Tamilarasi","A. Tamilarasi"
"http://dbpedia.org/resource/A._Thangathurai","A. Thangathurai"
"http://dbpedia.org/resource/A._Thiagarajah","A. Thiagarajah"
"http://dbpedia.org/resource/A._Thomas_Alsbury","A. Thomas Alsbury"
"http://dbpedia.org/resource/A._Thomas_McLellan","A. Thomas McLellan"
"http://dbpedia.org/resource/A._Thurairajah","A. Thurairajah"
"http://dbpedia.org/resource/A._U._Fuimaono","A. U. Fuimaono"
"http://dbpedia.org/resource/A._V._Alexander,_1st_Earl_Alexander_of_Hillsborough","A. V. Alexander, 1st Earl Alexander of Hillsborough"
"http://dbpedia.org/resource/A._V._Bellarmin","A. V. Bellarmin"
"http://dbpedia.org/resource/A._V._Ragsdale","A. V. Ragsdale"
"http://dbpedia.org/resource/A._V._Swamy","A. V. Swamy"
"http://dbpedia.org/resource/A._V._Wells","A. V. Wells"
"http://dbpedia.org/resource/A._Venkatachalam","A. Venkatachalam"
"http://dbpedia.org/resource/A._Vernon_Weaver","A. Vernon Weaver"
"http://dbpedia.org/resource/A._Victor_Donahey","A. Victor Donahey"
"http://dbpedia.org/resource/A._Victor_Thomas","A. Victor Thomas"
"http://dbpedia.org/resource/A._Vijayaraghavan","A. Vijayaraghavan"
"http://dbpedia.org/resource/A._Vinayagamoorthy","A. Vinayagamoorthy"
"http://dbpedia.org/resource/A._W._Bhombal","A. W. Bhombal"
"http://dbpedia.org/resource/A._W._Norblad","A. W. Norblad"
"http://dbpedia.org/resource/A._W._Rabi_Bernard","A. W. Rabi Bernard"
"http://dbpedia.org/resource/A._W._Sheldon","A. W. Sheldon"
"http://dbpedia.org/resource/A._W._Tiffany","A. W. Tiffany"
"http://dbpedia.org/resource/A._Wallace_Tashima","A. Wallace Tashima"
"http://dbpedia.org/resource/A._Walter_Norblad","A. Walter Norblad"
"http://dbpedia.org/resource/A._Wesley_Stuart","A. Wesley Stuart"
"http://dbpedia.org/resource/A._William_Sweeney","A. William Sweeney"
"http://dbpedia.org/resource/A._Y._B._I._Siddiqi","A. Y. B. I. Siddiqi"
"http://dbpedia.org/resource/A._Y._S._Parisutha_Nadar","A. Y. S. Parisutha Nadar"
"http://dbpedia.org/resource/AAMS_Arefin_Siddique","AAMS Arefin Siddique"
"http://dbpedia.org/resource/ABM_Ghulam_Mostafa","ABM Ghulam Mostafa"
