"afrAnimal","name"
"http://dbpedia.org/resource/Donkey_Kong_Country_Returns","Donkey Kong Country Returns"
"http://dbpedia.org/resource/Drewes's_worm_snake","Drewes's worm snake"
"http://dbpedia.org/resource/Fornasini's_blind_snake","Fornasini's blind snake"
"http://dbpedia.org/resource/Gierra's_blind_snake","Gierra's blind snake"
"http://dbpedia.org/resource/Hyrax","Hyrax"
"http://dbpedia.org/resource/Letheobia_graueri","Letheobia graueri"
"http://dbpedia.org/resource/Madatyphlops_domerguei","Madatyphlops domerguei"
"http://dbpedia.org/resource/Mario_vs._Donkey_Kong:_Mini-Land_Mayhem!","Mario vs. Donkey Kong: Mini-Land Mayhem!"
"http://dbpedia.org/resource/Miadanasuchus","Miadanasuchus"
"http://dbpedia.org/resource/Mocquard's_worm_snake","Mocquard's worm snake"
"http://dbpedia.org/resource/Oplurus_cuvieri","Oplurus cuvieri"
"http://dbpedia.org/resource/Pakasuchus","Pakasuchus"
"http://dbpedia.org/resource/Phonodus","Phonodus"
"http://dbpedia.org/resource/Polemon_christyi","Polemon christyi"
"http://dbpedia.org/resource/Polemon_griseiceps","Polemon griseiceps"
"http://dbpedia.org/resource/Polemon_neuwiedi","Polemon neuwiedi"
"http://dbpedia.org/resource/Rhinotyphlops_lalandei","Rhinotyphlops lalandei"
"http://dbpedia.org/resource/Schmidt's_blind_snake","Schmidt's blind snake"
"http://dbpedia.org/resource/Stejneger's_beaked_snake","Stejneger's beaked snake"
"http://dbpedia.org/resource/Wasei_Kingu_Kongu","Wasei Kingu Kongu"
"http://dbpedia.org/resource/Aana_Valarthiya_Vanampadiyude_Makan","Aana Valarthiya Vanampadiyude Makan"
"http://dbpedia.org/resource/Animals_United","Animals United"
"http://dbpedia.org/resource/Boaedon_lineatus","Boaedon lineatus"
"http://dbpedia.org/resource/Bosc's_fringe-toed_lizard","Bosc's fringe-toed lizard"
"http://dbpedia.org/resource/Botswana_Predator_Conservation_Trust","Botswana Predator Conservation Trust"
"http://dbpedia.org/resource/Hemicentetes","Hemicentetes"
"http://dbpedia.org/resource/Lokotunjailurus","Lokotunjailurus"
"http://dbpedia.org/resource/Maya_(1966_film)","Maya (1966 film)"
"http://dbpedia.org/resource/Palaeotragus","Palaeotragus"
"http://dbpedia.org/resource/Pternistis","Pternistis"
"http://dbpedia.org/resource/Punch_Trunk","Punch Trunk"
"http://dbpedia.org/resource/Serrated_hinged_terrapin","Serrated hinged terrapin"
"http://dbpedia.org/resource/Spanish_pond_turtle","Spanish pond turtle"
"http://dbpedia.org/resource/Taxonomy_of_lemurs","Taxonomy of lemurs"
"http://dbpedia.org/resource/Acontias_breviceps","Acontias breviceps"
"http://dbpedia.org/resource/Aglyptodactylus","Aglyptodactylus"
"http://dbpedia.org/resource/Anodonthyla","Anodonthyla"
"http://dbpedia.org/resource/Cophyla","Cophyla"
"http://dbpedia.org/resource/Furcifer_pardalis","Furcifer pardalis"
"http://dbpedia.org/resource/Gran_Canaria_giant_rat","Gran Canaria giant rat"
"http://dbpedia.org/resource/Lava_mouse","Lava mouse"
"http://dbpedia.org/resource/Levaillant's_cuckoo","Levaillant's cuckoo"
"http://dbpedia.org/resource/Mantidactylus","Mantidactylus"
"http://dbpedia.org/resource/Maylandia_lombardoi","Maylandia lombardoi"
"http://dbpedia.org/resource/Soemmerring's_gazelle","Soemmerring's gazelle"
"http://dbpedia.org/resource/Somali_wild_ass","Somali wild ass"
"http://dbpedia.org/resource/Sri_Lankan_elephant","Sri Lankan elephant"
"http://dbpedia.org/resource/Stumpffia","Stumpffia"
"http://dbpedia.org/resource/Gaja","Gaja"
"http://dbpedia.org/resource/Guy_the_Gorilla","Guy the Gorilla"
"http://dbpedia.org/resource/Hastin","Hastin"
