"lake","name"
"http://dbpedia.org/resource/Merrill_Lake_(Merrill_Creek)","Merrill Lake (Merrill Creek)"
"http://dbpedia.org/resource/Mogilnoye","Mogilnoye"
"http://dbpedia.org/resource/Mosambik_Lake_(Ontario)","Mosambik Lake (Ontario)"
"http://dbpedia.org/resource/Moti_Jheel","Moti Jheel"
"http://dbpedia.org/resource/Mount_Hope_Reservoir","Mount Hope Reservoir"
"http://dbpedia.org/resource/North_Wejinabikun_Lake_(Ontario)","North Wejinabikun Lake (Ontario)"
"http://dbpedia.org/resource/Norway_Lake_(Rainy_Creek_drainage_basin)","Norway Lake (Rainy Creek drainage basin)"
"http://dbpedia.org/resource/Occoquan_Reservoir","Occoquan Reservoir"
"http://dbpedia.org/resource/Paddy's_Lake_(Hastings_County)","Paddy's Lake (Hastings County)"
"http://dbpedia.org/resource/Partridge_Lake_(Lennox_and_Addington_County)","Partridge Lake (Lennox and Addington County)"
"http://dbpedia.org/resource/Patenggang_Lake","Patenggang Lake"
"http://dbpedia.org/resource/Pearson_Lake_(Lennox_and_Addington_County)","Pearson Lake (Lennox and Addington County)"
"http://dbpedia.org/resource/Pelican_Lake_(Kenora_District)","Pelican Lake (Kenora District)"
"http://dbpedia.org/resource/Poison_Pond","Poison Pond"
"http://dbpedia.org/resource/Rainy_Lake_(Moira_drainage_basin)","Rainy Lake (Moira drainage basin)"
"http://dbpedia.org/resource/Rainy_Lake_(Snake_Creek_drainage_basin)","Rainy Lake (Snake Creek drainage basin)"
"http://dbpedia.org/resource/Reedy_Lake","Reedy Lake"
"http://dbpedia.org/resource/Roine_(Finland)","Roine (Finland)"
"http://dbpedia.org/resource/Ruedi_Reservoir","Ruedi Reservoir"
"http://dbpedia.org/resource/Rumworth_Lodge_Reservoir","Rumworth Lodge Reservoir"
"http://dbpedia.org/resource/Savage_Lake","Savage Lake"
"http://dbpedia.org/resource/Setten","Setten"
"http://dbpedia.org/resource/Shadehill_Reservoir","Shadehill Reservoir"
"http://dbpedia.org/resource/Singanallur_Lake","Singanallur Lake"
"http://dbpedia.org/resource/South_Summit_Lake_(Ontario)","South Summit Lake (Ontario)"
"http://dbpedia.org/resource/Standley_Lake","Standley Lake"
"http://dbpedia.org/resource/Staunton_Harold_Reservoir","Staunton Harold Reservoir"
"http://dbpedia.org/resource/Steenburg_Lake_(Ontario)","Steenburg Lake (Ontario)"
"http://dbpedia.org/resource/Stickle_Tarn,_Langdale","Stickle Tarn, Langdale"
"http://dbpedia.org/resource/Sugar_Camp_Lake","Sugar Camp Lake"
"http://dbpedia.org/resource/Summit_Lake_(Frontenac_County)","Summit Lake (Frontenac County)"
"http://dbpedia.org/resource/Summit_Lake_(Goudreau,_Ontario)","Summit Lake (Goudreau, Ontario)"
"http://dbpedia.org/resource/Summit_Lake_(Josephine_Creek)","Summit Lake (Josephine Creek)"
"http://dbpedia.org/resource/Summit_Lake_(Kabinakagami_River)","Summit Lake (Kabinakagami River)"
"http://dbpedia.org/resource/Summit_Lake_(Kenora_District)","Summit Lake (Kenora District)"
"http://dbpedia.org/resource/Summit_Lake_(Lochalsh_River)","Summit Lake (Lochalsh River)"
"http://dbpedia.org/resource/Summit_Lake_(Rainy_River_District)","Summit Lake (Rainy River District)"
"http://dbpedia.org/resource/Summit_Lake_(Sudbury_District)","Summit Lake (Sudbury District)"
