"euroSight","name"
"http://dbpedia.org/resource/Bartow-Pell_Mansion","Bartow-Pell Mansion"
"http://dbpedia.org/resource/Bradbury_Building","Bradbury Building"
"http://dbpedia.org/resource/Farmers_Market_(Los_Angeles)","Farmers Market (Los Angeles)"
"http://dbpedia.org/resource/Fire_Island_Lighthouse","Fire Island Lighthouse"
"http://dbpedia.org/resource/Irma_Hotel","Irma Hotel"
"http://dbpedia.org/resource/Juscelino_Kubitschek_bridge","Juscelino Kubitschek bridge"
"http://dbpedia.org/resource/Leimert_Bridge","Leimert Bridge"
"http://dbpedia.org/resource/New_York_Yacht_Club","New York Yacht Club"
"http://dbpedia.org/resource/Sloss_Furnaces","Sloss Furnaces"
"http://dbpedia.org/resource/Spencer_Plaza","Spencer Plaza"
"http://dbpedia.org/resource/Wainwright_Building","Wainwright Building"
"http://dbpedia.org/resource/American_Bank_Note_Company_Printing_Plant","American Bank Note Company Printing Plant"
"http://dbpedia.org/resource/Museo_de_Arte_Contemporáneo_de_Castilla_y_León","Museo de Arte Contemporáneo de Castilla y León"
"http://dbpedia.org/resource/Kugler_Hospital","Kugler Hospital"
"http://dbpedia.org/resource/Beaverhead_Rock","Beaverhead Rock"
"http://dbpedia.org/resource/Betsy_Ross_House","Betsy Ross House"
"http://dbpedia.org/resource/Caversham_Park","Caversham Park"
"http://dbpedia.org/resource/Culver_Hotel","Culver Hotel"
"http://dbpedia.org/resource/Longton_railway_station","Longton railway station"
"http://dbpedia.org/resource/Magdalene_Tower,_Drogheda","Magdalene Tower, Drogheda"
"http://dbpedia.org/resource/Parachute_Jump","Parachute Jump"
"http://dbpedia.org/resource/Philtower_Building","Philtower Building"
"http://dbpedia.org/resource/Waibaidu_Bridge","Waibaidu Bridge"
"http://dbpedia.org/resource/Mamaroneck_Methodist_Church","Mamaroneck Methodist Church"
"http://dbpedia.org/resource/Shah_Alam_Royale_Theatre","Shah Alam Royale Theatre"
"http://dbpedia.org/resource/Hua_Hin_railway_station","Hua Hin railway station"
"http://dbpedia.org/resource/Myathalun_Pagoda","Myathalun Pagoda"
